name,hex,Traditional Chinese name
Yínhóng,#e7cad3,銀紅
Yínzhū,#d12920,銀硃
Yóuhúlú,#644d31,油葫蘆
Yóulǜ,#5d7259,油綠
Yóuzǐ,#420b2f,油紫
Yùjīnqún,#d08635,鬱金裙
Yùpīng,#eae5e3,玉頩
Yùsè,#eae4d1,玉色
Yùyángrǎn,#576470,育陽染
Yúbái,#c9cfc1,餘白
Yúnhuáng,#d2a36c,芸黃
Yúnmén,#a2d2e2,雲門
Yúnmǔ,#c6beb1,雲母
Yúnwù,#d5d1ae,筠霧
Yúshīqīng,#32788a,魚師青
Yāchú,#6a5b6d,鴉維
Yānhóng,#9d858f,煙紅
Yānmò,#5c4f55,煙墨
Yānzhīchóng,#ab1d22,胭脂蟲
Yānzhīshuǐ,#b95a89,胭脂水
Yānzhīzǐ,#b0436f,胭脂紫
Yīng'ér,#ebe1a9,鶯兒
Yīngbèihè,#8f6d5f,鷹背褐
Yīnghuā,#e4b8d5,櫻花
Yōutánruì,#615ea8,優曇瑞
Yǎngshēngzhǔ,#b49b7f,養生主
Yǐngqīng,#bdcbd2,影青
Yǔyúliáng,#e1d279,禹餘糧
Zhuójiàng,#796860,濯絳
Zhèhuáng,#c67915,柘黃
Zhèngqīng,#6ca8af,正青
Zhídàxiàng,#919177,執大象
Zhúyuè,#7f9faf,竹月
Zhēnglì,#a58a5f,蒸栗
Zhěluó,#9a6655,赭羅
Zhīzi,#fac03d,梔子
Zhūcǎo,#a64036,朱草
Zhūkǒngyáng,#b81a35,朱孔陽
Zhūshì,#ed6d46,朱柿
Zhūshílì,#81492c,朱石栗
Zhūyántuó,#f29a76,朱顏酡
Zhūyān,#b93a26,朱殷
Zhūyīng,#8f1d22,朱櫻
Zhūzhàn,#95302e,朱湛
Zhūzǐhè,#bea89d,珠子褐
Zànbái,#f6f9e4,酇白
Zēngqīng,#535164,曾青
Zōuchī,#804c2e,緅絺
Zǎohè,#68361a,棗褐
Zǐ'ōu,#7c461e,紫甌
Zǐbóhàn,#bba1cb,紫薄汗
Zǐdì,#9b8ea9,紫菂
Zǐfǔ,#995d7f,紫府
Zǐgào,#76555d,紫誥
Zǐhuābù,#bea78b,紫花布
Zǐjīngpíngfēng,#a76283,紫莖屏風
Zǐkuàng,#9e4e56,紫礦
Zǐméi,#bb7a8c,紫梅
Zǐmò,#a67eb7,茈藐
Zǐmójīn,#bc836b,紫磨金
Zǐpú,#a6559d,紫蒲
Zǐqū,#7d5284,紫紶
Zǐshǔ,#594c57,紫鼠
Zǐyuàn,#757cbb,紫苑
Èrlǜ,#5da39d,二綠
Èrmùyú,#dfe0d9,二目魚
Éhuáng,#be8a2f,蛾黃
Ōubì,#c0d695,歐碧
Ǒusīhè,#a88787,藕絲褐
Ǒusīqiūbàn,#d3cbc5,藕絲秋半
